[23, 17, 21, 30][0, 0, 0, 0]
[23, 17, 22, 30][0, 0, 0, 0]
[23, 17, 22, 30][0, 0, 0, 0]
[24, 17, 22, 30][0, 0, 0, 0]
[24, 17, 22, 30][0, 0, 0, 0]
[25, 17, 22, 30][0, 0, 0, 0]
[25, 17, 22, 30][0, 0, 0, 0]
[25, 17, 23, 30][0, 0, 0, 0]
[25, 17, 23, 30][0, 0, 0, 0]
[25, 17, 23, 31][0, 0, 0, 0]
[25, 17, 23, 31][0, 0, 0, 0]
[25, 18, 23, 31][0, 0, 0, 0]
[25, 18, 23, 31][0, 0, 0, 0]
[25, 18, 23, 32][0, 0, 0, 0]
[25, 18, 23, 32][0, 0, 0, 0]
[25, 18, 23, 33][0, 0, 0, 0]
[25, 18, 23, 33][0, 0, 0, 0]
[25, 18, 23, 34][0, 0, 0, 0]
[25, 18, 23, 34][0, 0, 0, 0]
[25, 19, 23, 34][0, 0, 0, 0]
[25, 19, 23, 34][0, 0, 0, 0]
[26, 19, 23, 34][0, 0, 0, 0]
[26, 19, 23, 34][0, 0, 0, 0]
[26, 19, 24, 34][0, 0, 0, 0]
[26, 19, 24, 34][0, 0, 0, 0]
[27, 19, 24, 34][0, 0, 0, 0]
[27, 19, 24, 34][0, 0, 0, 0]
[27, 19, 25, 34][0, 0, 0, 0]
[27, 19, 25, 34][0, 0, 0, 0]
[27, 19, 26, 34][0, 0, 0, 0]
[27, 19, 26, 34][0, 0, 0, 0]
[27, 19, 26, 35][0, 0, 0, 0]
[27, 19, 26, 35][0, 0, 0, 0]
[27, 19, 26, 36][0, 0, 0, 0]
[27, 19, 26, 36][0, 0, 0, 0]
[27, 20, 26, 36][0, 0, 0, 0]
[27, 20, 26, 36][0, 0, 0, 0]
[27, 21, 26, 36][0, 0, 0, 0]
[27, 21, 26, 36][0, 0, 0, 0]
[27, 21, 26, 37][0, 0, 0, 0]
[27, 21, 26, 37][0, 0, 0, 0]
[27, 21, 26, 38][0, 0, 0, 0]
[27, 21, 26, 38][0, 0, 0, 0]
[27, 22, 26, 38][0, 0, 0, 0]
[27, 22, 26, 38][0, 0, 0, 0]
[27, 22, 27, 38][0, 0, 0, 0]
[27, 22, 27, 38][0, 0, 0, 0]
[27, 22, 27, 39][0, 0, 0, 0]
[27, 22, 27, 39][0, 0, 0, 0]
[27, 22, 27, 40][0, 0, 0, 0]
[27, 22, 27, 40][0, 0, 0, 0]
[27, 22, 27, 41][0, 0, 0, 0]
[27, 22, 27, 41][0, 0, 0, 0]
[27, 22, 28, 41][0, 0, 0, 0]
[27, 22, 28, 41][0, 0, 0, 0]
[27, 22, 29, 41][0, 0, 0, 0]
[27, 22, 29, 41][0, 0, 0, 0]
[27, 22, 29, 42][0, 0, 0, 0]
[27, 22, 29, 42][0, 0, 0, 0]
[27, 22, 29, 43][0, 0, 0, 0]
[27, 22, 29, 43][0, 0, 0, 0]
[27, 22, 30, 43][0, 0, 0, 0]
[27, 22, 30, 43][0, 0, 0, 0]
[27, 22, 30, 44][0, 0, 0, 0]
